,From_Date,To_Date,AT,RH,SR,WS,Energy,Month
0,2019-09-17,2019-09-18,26.6,86.83,192.03,1.34,483.0,9
1,2019-09-18,2019-09-19,26.1,89.25,108.98,1.08,371.0,9
2,2019-09-19,2019-09-20,27.66,80.99,172.5,0.92,551.0,9
3,2019-09-20,2019-09-21,27.77,82.71,165.78,0.78,614.0,9
4,2019-09-21,2019-09-22,27.75,83.06,145.68,0.69,491.0,9
5,2019-09-22,2019-09-23,27.39,79.56,179.73,0.92,547.0,9
6,2019-09-23,2019-09-24,27.02,82.32,154.67,0.84,564.0,9
7,2019-09-24,2019-09-25,26.94,80.66,158.65,0.82,546.0,9
8,2019-09-25,2019-09-26,26.58,83.8,148.69,0.88,518.0,9
9,2019-09-26,2019-09-27,25.72,88.59,121.97,0.74,95.0,9
10,2019-09-27,2019-09-28,25.65,88.22,139.05,0.93,476.0,9
11,2019-09-28,2019-09-29,25.31,86.38,147.57,1.05,453.0,9
12,2019-09-29,2019-09-30,26.12,82.45,173.1,0.98,427.0,9
13,2019-09-30,2019-01-10,26.77,78.68,163.8,0.83,617.0,9
14,2019-01-10,2019-02-10,25.41,83.81,164.51,1.38,542.0,1
15,2019-02-10,2019-03-10,26.3,79.35,167.77,1.11,464.0,2
16,2019-03-10,2019-04-10,27.5,73.27,178.44,1.02,683.0,3
17,2019-04-10,2019-05-10,28.41,70.22,178.07,0.88,646.0,4
18,2019-05-10,2019-06-10,27.34,72.5,167.48,0.98,597.0,5
19,2019-06-10,2019-07-10,26.96,75.23,171.57,0.81,573.0,6
20,2019-07-10,2019-08-10,26.31,78.78,148.38,0.67,515.0,7
21,2019-08-10,2019-09-10,27.91,66.68,180.53,0.88,539.0,8
22,2019-09-10,2019-10-10,27.91,61.21,184.52,0.67,671.0,9
23,2019-10-10,2019-11-10,27.8,62.66,175.95,0.57,659.0,10
24,2019-11-10,2019-12-10,27.12,68.53,171.78,0.67,644.0,11
25,2019-12-10,2019-10-13,27.65,53.93,189.6,0.57,681.0,12
